path,category,size,lines,words,has_frontmatter,frontmatter_keys
.gitignore,other,723,63,86,False,
BUILD-MANUSCRIPT-FOR-REVIEW.py,other,7793,247,595,False,
CHARACTER-APPEARANCE-INDEX.md,other,13767,259,1310,True,title;date;purpose;status
CONTRIBUTING.md,other,7360,233,881,False,
CROSS-REFERENCE-HUB.md,other,26177,303,2144,True,title;date;purpose;status
manuscript-review.md,other,833483,8317,129713,False,
manuscript-review.txt,other,833057,8317,129636,False,
MERGE-LOG.md,other,21734,108,431,False,
README.md,other,6619,138,614,False,
REORG-LOG.md,other,471,13,62,False,
story-overview.md,other,44628,647,6029,False,
SYSTEMS-TO-DOCUMENTATION-INDEX.md,other,18960,352,1693,True,title;date;purpose;status
Verify-Setup.md,other,531,10,85,False,
.github/PULL_REQUEST_TEMPLATE.md,other,2578,74,434,True,name;about;title;labels
.github/workflows/manuscript-ci.yml,other,886,29,85,False,
.obsidian/app.json,obsidian,2,1,1,False,
.obsidian/appearance.json,obsidian,76,6,8,False,
.obsidian/community-plugins.json,obsidian,208,12,12,False,
.obsidian/core-plugins.json,obsidian,696,33,64,False,
.obsidian/graph.json,obsidian,486,22,42,False,
.obsidian/image-converter-image-alignments.json,obsidian,2,1,1,False,
.obsidian/templates.json,obsidian,27,3,4,False,
.obsidian/workspace.json,obsidian,8282,277,504,False,
.obsidian/plugins/buttons/main.js,obsidian,190877,5186,18646,False,
.obsidian/plugins/buttons/manifest.json,obsidian,288,10,31,False,
.obsidian/plugins/buttons/styles.css,obsidian,12138,624,1145,False,
.obsidian/plugins/custom-classes/main.js,obsidian,17825,441,1623,False,
.obsidian/plugins/custom-classes/manifest.json,obsidian,369,11,39,False,
.obsidian/plugins/custom-classes/styles.css,obsidian,496,25,55,False,
.obsidian/plugins/dataview/main.js,obsidian,1302069,20876,81352,False,
.obsidian/plugins/dataview/manifest.json,obsidian,357,11,27,False,
.obsidian/plugins/dataview/styles.css,obsidian,2965,141,271,False,
.obsidian/plugins/githobs/data.json,obsidian,48,5,8,False,
.obsidian/plugins/githobs/main.js,obsidian,21994,689,2144,False,
.obsidian/plugins/githobs/manifest.json,obsidian,304,11,27,False,
.obsidian/plugins/githobs/styles.css,obsidian,107,8,12,False,
.obsidian/plugins/image-converter/main.js,obsidian,2732517,7,33590,False,
.obsidian/plugins/image-converter/manifest.json,obsidian,447,11,45,False,
.obsidian/plugins/image-converter/styles.css,obsidian,92624,3820,8652,False,
.obsidian/plugins/novel-word-count/data.json,obsidian,763980,28125,54214,False,
.obsidian/plugins/novel-word-count/main.js,obsidian,82623,2079,6451,False,
.obsidian/plugins/novel-word-count/manifest.json,obsidian,358,11,39,False,
.obsidian/plugins/novel-word-count/styles.css,obsidian,3461,118,260,False,
.obsidian/plugins/obsidian-excalidraw-plugin/data.json,obsidian,20690,820,1475,False,
.obsidian/plugins/obsidian-excalidraw-plugin/main.js,obsidian,8387245,11,50040,False,
.obsidian/plugins/obsidian-excalidraw-plugin/manifest.json,obsidian,486,12,41,False,
.obsidian/plugins/obsidian-excalidraw-plugin/styles.css,obsidian,197940,1,3386,False,
.obsidian/plugins/obsidian-kanban/main.js,obsidian,990767,153,23652,False,
.obsidian/plugins/obsidian-kanban/manifest.json,obsidian,348,11,25,False,
.obsidian/plugins/obsidian-kanban/styles.css,obsidian,60802,1,774,False,
.obsidian/plugins/smart-connections/data.json,obsidian,62,4,6,False,
.obsidian/plugins/smart-connections/main.js,obsidian,1224798,33284,116455,False,
.obsidian/plugins/smart-connections/manifest.json,obsidian,313,10,34,False,
.obsidian/plugins/smart-connections/styles.css,obsidian,17969,907,1583,False,
.obsidian/plugins/table-editor-obsidian/data.json,obsidian,94,6,10,False,
.obsidian/plugins/table-editor-obsidian/main.js,obsidian,272250,236,10860,False,
.obsidian/plugins/table-editor-obsidian/manifest.json,obsidian,564,17,43,False,
.obsidian/plugins/table-editor-obsidian/styles.css,obsidian,1751,78,129,False,
.obsidian/snippets/folder-colors.css,obsidian,121,4,18,False,
.smart-env/smart_env.json,smart-env,2219,85,153,False,
.smart-env/embedding_models/embedding_models.ajson,smart-env,249,2,2,False,
.smart-env/event_logs/event_logs.ajson,smart-env,8757,51,102,False,
.smart-env/multi/AI_AI-Draft-Template_md.ajson,smart-env,6970,7,61,False,
.smart-env/multi/AI_reference_BEASTS_md.ajson,smart-env,212612,43,818,False,
.smart-env/multi/AI_reference_COPILOT-CONVERSATION-TRANSCRIPT_md.ajson,smart-env,14867,3,36,False,
.smart-env/multi/AI_reference_DEEPSEEK-BATCH-1_md.ajson,smart-env,146096,30,939,False,
.smart-env/multi/AI_reference_DEEPSEEK-BATCH-2_md.ajson,smart-env,9659,2,4,False,
.smart-env/multi/AI_reference_DEEPSEEK-BATCH-3_md.ajson,smart-env,14670,3,36,False,
.smart-env/multi/AI_reference_DEEPSEEK-BATCH-4_md.ajson,smart-env,9626,2,4,False,
.smart-env/multi/AI_reference_DEEPSEEK-BATCH-5_md.ajson,smart-env,14703,3,42,False,
.smart-env/multi/AI_reference_DEEPSEEK-BATCH-6_md.ajson,smart-env,53054,19,326,False,
.smart-env/multi/AI_reference_DEEPSEEK-BATCH-7_md.ajson,smart-env,9647,2,4,False,
.smart-env/multi/AI_reference_DEEPSEEK-BATCH-8_md.ajson,smart-env,14678,3,36,False,
