numero;empresa;data;hora;fonte
1;"Skip to content";2026-02-25;01:22:56;anpg_auto_extraction
2;"Nossa História";2026-02-25;01:22:56;anpg_auto_extraction
3;"Responsabilidade Social";2026-02-25;01:22:56;anpg_auto_extraction
4;"Contactos";2026-02-25;01:22:56;anpg_auto_extraction
5;"Oportunidades";2026-02-25;01:22:56;anpg_auto_extraction
6;"Licitação 2025";2026-02-25;01:22:56;anpg_auto_extraction
7;"Oferta Permanente";2026-02-25;01:22:56;anpg_auto_extraction
8;"Licitação 2023";2026-02-25;01:22:56;anpg_auto_extraction
9;"Dados de E&P";2026-02-25;01:22:56;anpg_auto_extraction
10;"Plataforma IONA";2026-02-25;01:22:56;anpg_auto_extraction
11;"OASIS – Banco de Imagens";2026-02-25;01:22:56;anpg_auto_extraction
12;"Pacotes de Dados";2026-02-25;01:22:56;anpg_auto_extraction
13;"Mapas E&P";2026-02-25;01:22:56;anpg_auto_extraction
14;"Conferência 2021";2026-02-25;01:22:56;anpg_auto_extraction
15;"2ª. Conferência de Gestão de Dados 2023";2026-02-25;01:22:56;anpg_auto_extraction
16;"Produção";2026-02-25;01:22:56;anpg_auto_extraction
17;"Conteúdo Local";2026-02-25;01:22:56;anpg_auto_extraction
18;"[gtranslate]";2026-02-25;01:22:56;anpg_auto_extraction
19;"REGISTO E CERTIFICAÇÃO DE EMPRESAS PARA O SECTOR PETROLÍFERO EM ANGOLA";2026-02-25;01:22:56;anpg_auto_extraction
20;"VER MAIS";2026-02-25;01:22:56;anpg_auto_extraction
21;"Introdução
Regimes de Contratação
Ciclo de Contratação
Lista de Bens e Serviços
Instrutivo
Manual
Registo de Fornecedor";2026-02-25;01:22:56;anpg_auto_extraction
22;"Introdução";2026-02-25;01:22:56;anpg_auto_extraction
23;"Regimes de Contratação";2026-02-25;01:22:56;anpg_auto_extraction
24;"Ciclo de Contratação";2026-02-25;01:22:56;anpg_auto_extraction
25;"Lista de Bens e Serviços";2026-02-25;01:22:56;anpg_auto_extraction
26;"Instrutivo";2026-02-25;01:22:56;anpg_auto_extraction
27;"Manual";2026-02-25;01:22:56;anpg_auto_extraction
28;"Registo de Fornecedor";2026-02-25;01:22:56;anpg_auto_extraction
29;"INTRODUÇÃO";2026-02-25;01:22:56;anpg_auto_extraction
