numero;empresa;data;hora;fonte
1;LISTAS  DE BENS E  SERVIÇOS;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
2;ANPG;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
3;Plataforma IONA;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
4;OASIS - Banco de Imagens;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
5;Pacotes de DADOS;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
6;Mapas E&P;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
7;Notícias;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
8;Boletim Informativo;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
9;Vídeos;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
10;Recorte de Imprensa;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
11;Código de Conduta e Ética;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
12;Canal de Denúncia;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
13;Subscrever;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
14;OASIS – Banco de Imagens;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
15;Média;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
16;Links Rápidos;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
17;Subscrever a nossa newsletter:;25/02/2026;12:43:57;ANPG_IFRAME_ADVANCED
