NIF;Nome;Categoria
"5000222879";"2césJ - Comercio e Servicos, Lda";"Consultoria, Assessoria e Auditoria"
"5000577898";"A. J. Castilho Prestação de Serviços";"Consultoria, Assessoria e Auditoria"
"5000784990";"Abyarin Soluções - Comércio Geral";"Consultoria, Assessoria e Auditoria"
"5001329847";"ABYLOS ANGOLA";"Consultoria, Assessoria e Auditoria"
"5417536857";"Acelera Angola Prestação de Serviço Lda";"Consultoria, Assessoria e Auditoria"
"5417217379";"ACPE- ANGOLA LOGISTICAS LDA";"Consultoria, Assessoria e Auditoria"
"541736671";"AFRICA HR ANGOLA, LDA";"Consultoria, Assessoria e Auditoria"
"5001063820";"Agnos Humbe Investments S.A.";"Consultoria, Assessoria e Auditoria"
"5480000691";"Akiu Lda";"Consultoria, Assessoria e Auditoria"
"5001310283";"ALAMEDA FANCY";"Consultoria, Assessoria e Auditoria"
"002870457CA036";"ALCOFEKA";"Consultoria, Assessoria e Auditoria"
"5001942204";"AMM FUTURO - CONSULTORIA";"Consultoria, Assessoria e Auditoria"
"5417462063";"ANDIAMO, LIMITADA";"Consultoria, Assessoria e Auditoria"
"511101553";"ANGLOBAL - COMÉRCIO, INDUSTRIA";"Consultoria, Assessoria e Auditoria"
"5417125962";"ANGOLA ENVIRONMENT TECHNOLOGY";"Consultoria, Assessoria e Auditoria"
"5001512161";"ANT-ANGOLA - PRESTAÇÃO DE SERVIÇOS";"Consultoria, Assessoria e Auditoria"
"5000652830";"ARLINDO ALFA CONSULTORIA E GESTÃO";"Consultoria, Assessoria e Auditoria"
