nivel;texto;tipo;nif;categoria;confirmado;origem
0;"Consultoria, Assessoria e Auditoria";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviço de Inspecção, Testes e Certificação";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviço de Suporte as Operações";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços  de Assistência Jurídica";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Apoio";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Engenharia e gestão de Projectos (Pré-Feed, FEED e Engenharia de Detalhe)";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Fabricação";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Finanças e Seguros";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Formação e Capacitação Profissional";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Fornecimento de Pessoal";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Geociências";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Operação Marítima";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Reservatório";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Saúde, Meio ambiente e Segurança";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Tecnologias de Informação e Comunicação";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços de Transporte, Instalação, Hook up e Comissionamento";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços e Bens de Perfuração, Completação e Intervenções de Poços";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços Logistícos";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Serviços no Âmbito da Avaliação do Potencial Petrolífero das Bacias Interiores";CATEGORIA;;;SIM;descobre_expand_all.js
0;"Sistema de Produção Submarino (SPS) e Umbilicais, Linhas de Escoamento e Elevação (SURF)";CATEGORIA;;;SIM;descobre_expand_all.js
1;"Administração e Gestão de Projectos";SUBCATEGORIA;;Consultoria, Assessoria e Auditoria;NÃO;expansion_logic
1;"Assistência Jurídica De Serviços Especializados";SUBCATEGORIA;;Consultoria, Assessoria e Auditoria;NÃO;expansion_logic
1;"Base de dados jurídica";SUBCATEGORIA;;Consultoria, Assessoria e Auditoria;NÃO;expansion_logic
1;"Consultoria De Conformidade E Compliance";SUBCATEGORIA;;Consultoria, Assessoria e Auditoria;NÃO;expansion_logic
1;"Consultoria em Contabilidade";SUBCATEGORIA;;Consultoria, Assessoria e Auditoria;NÃO;expansion_logic
1;"Consultoria em Design (Industrial, Web Design.)";SUBCATEGORIA;;Consultoria, Assessoria e Auditoria;NÃO;expansion_logic
