nivel;texto;tipo;index
0;"[gtranslate]";CATEGORIA_OU_ITEM;17
0;"Procurar";CATEGORIA_OU_ITEM;20
0;"Sobre nós
Oportunidades
Dados de E&P
Media
Produção
Conteúdo Local
Procurar";CATEGORIA_OU_ITEM;27
0;"Sobre nós
Oportunidades
Dados de E&P
Media
Produção
Conteúdo Local";CATEGORIA_OU_ITEM;32
0;"REGISTO E CERTIFICAÇÃO DE EMPRESAS PARA O SECTOR PETROLÍFERO EM ANGOLA";CATEGORIA_OU_ITEM;84
0;"VER MAIS";CATEGORIA_OU_ITEM;86
0;"Introdução
Regimes de Contratação
Ciclo de Contratação
Lista de Bens e Serviços
Instrutivo
Manual
Registo de Fornecedor";CATEGORIA_OU_ITEM;91
0;"Introdução
Regimes de Contratação
Ciclo de Contratação
Lista de Bens e Serviços
Instrutivo
Manual
Registo de Fornecedor
			
						
				Introdução
Regimes de Contratação
Ciclo de Contratação
Lista de Bens e Serviços
Instrutivo
Manual
Registo de Fornecedor";CATEGORIA_OU_ITEM;96
0;"INTRODUÇÃO";CATEGORIA_OU_ITEM;109
0;"Estatísticas de Registo e Certificação à data de 12 de Março de 2025
2534
Empresas Registadas
1054
Empresas Visitadas
1199
Empresas Certificadas";CATEGORIA_OU_ITEM;126
0;"Estatísticas de Registo e Certificação à data de 12 de Março de 2025";CATEGORIA_OU_ITEM;139
0;"2534
Empresas Registadas
1054
Empresas Visitadas
1199
Empresas Certificadas";CATEGORIA_OU_ITEM;148
0;"2534
Empresas Registadas";CATEGORIA_OU_ITEM;149
0;"2534";CATEGORIA_OU_ITEM;151
0;"Empresas Registadas";CATEGORIA_OU_ITEM;153
0;"1054
Empresas Visitadas";CATEGORIA_OU_ITEM;155
0;"1054";CATEGORIA_OU_ITEM;157
0;"Empresas Visitadas";CATEGORIA_OU_ITEM;159
0;"1199
Empresas Certificadas";CATEGORIA_OU_ITEM;161
0;"1199";CATEGORIA_OU_ITEM;163
0;"Empresas Certificadas";CATEGORIA_OU_ITEM;165
0;"Regime de Exclusividade

Consiste na obrigação que impede sobre as empresas do sector dos petróleo e as associadas da concessionária Nacional de utilizar os bens e serviços das sociedades comercias Angolanas (empresas 100% Angolanas) que constem na lista de bens e serviços exclusivos.";CATEGORIA_OU_ITEM;180
0;"Regime de Exclusividade";CATEGORIA_OU_ITEM;184
0;"Consiste na obrigação que impede sobre as empresas do sector dos petróleo e as associadas da concessionária Nacional de utilizar os bens e serviços das sociedades comercias Angolanas (empresas 100% Angolanas) que constem na lista de bens e serviços exclusivos.";CATEGORIA_OU_ITEM;186
0;"Regime de Preferência

Consiste na obrigação que impede sobre as sociedades comercias do sector dos petróleos e associadas da concessionária Nacional de utilizar os bens e serviços das sociedades de direito Angolano (empresas constituídas e estabelecidas de acordo com a legislação angolana).";CATEGORIA_OU_ITEM;188
0;"Regime de Preferência";CATEGORIA_OU_ITEM;192
