numero;item;data;hora;fonte
1;Mostrar atalhos de teclado;25/02/2026;13:03:40;POWERBI_EMBEDDED
2;Mostrar sugestões de leitores de ecrã;25/02/2026;13:03:40;POWERBI_EMBEDDED
3;Avançar para o conteúdo principal;25/02/2026;13:03:40;POWERBI_EMBEDDED
4;Serviços;25/02/2026;13:03:40;POWERBI_EMBEDDED
5;Bens;25/02/2026;13:03:40;POWERBI_EMBEDDED
6;Deslocar para cima;25/02/2026;13:03:40;POWERBI_EMBEDDED
7;Deslocar para baixo;25/02/2026;13:03:40;POWERBI_EMBEDDED
8;Deslocar para a esquerda;25/02/2026;13:03:40;POWERBI_EMBEDDED
9;Deslocar para a direita;25/02/2026;13:03:40;POWERBI_EMBEDDED
10;Serviço/Actvidade/Tipo de Sociedade/Empresa;25/02/2026;13:03:40;POWERBI_EMBEDDED
11;Consultoria, Assessoria e Auditoria;25/02/2026;13:03:40;POWERBI_EMBEDDED
12;Serviço de Inspecção, Testes e Certificação;25/02/2026;13:03:40;POWERBI_EMBEDDED
13;Serviço de Suporte as Operações;25/02/2026;13:03:40;POWERBI_EMBEDDED
14;Serviços de Assistência Jurídica;25/02/2026;13:03:40;POWERBI_EMBEDDED
15;Serviços de Apoio;25/02/2026;13:03:40;POWERBI_EMBEDDED
16;Serviços de Engenharia e gestão de Projectos (Pré-Feed, FEED e Engenharia de Detalhe);25/02/2026;13:03:40;POWERBI_EMBEDDED
17;Serviços de Fabricação;25/02/2026;13:03:40;POWERBI_EMBEDDED
18;Serviços de Finanças e Seguros;25/02/2026;13:03:40;POWERBI_EMBEDDED
19;Serviços de Formação e Capacitação Profissional;25/02/2026;13:03:40;POWERBI_EMBEDDED
20;Serviços de Fornecimento de Pessoal;25/02/2026;13:03:40;POWERBI_EMBEDDED
21;Serviços de Geociências;25/02/2026;13:03:40;POWERBI_EMBEDDED
22;Serviços de Operação Marítima;25/02/2026;13:03:40;POWERBI_EMBEDDED
23;Serviços de Reservatório;25/02/2026;13:03:40;POWERBI_EMBEDDED
24;Serviços de Saúde, Meio ambiente e Segurança;25/02/2026;13:03:40;POWERBI_EMBEDDED
25;Serviços de Tecnologias de Informação e Comunicação;25/02/2026;13:03:40;POWERBI_EMBEDDED
26;Serviços de Transporte, Instalação, Hook up e Comissionamento;25/02/2026;13:03:40;POWERBI_EMBEDDED
27;Serviços e Bens de Perfuração, Completação e Intervenções de Poços;25/02/2026;13:03:40;POWERBI_EMBEDDED
28;Serviços Logistícos;25/02/2026;13:03:40;POWERBI_EMBEDDED
29;Serviços no Âmbito da Avaliação do Potencial Petrolífero das Bacias Interiores;25/02/2026;13:03:40;POWERBI_EMBEDDED
30;Sistema de Produção Submarino (SPS) e Umbilicais, Linhas de Escoamento e Elevação (SURF);25/02/2026;13:03:40;POWERBI_EMBEDDED
31;Relatório Ampliado Para 81%;25/02/2026;13:03:40;POWERBI_EMBEDDED
